Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2000,17.8.1 Internet users,,Number,,3482
2001,17.8.1 Internet users,,Number,,5096
2002,17.8.1 Internet users,,Number,,6564
2003,17.8.1 Internet users,,Number,,7152
2004,17.8.1 Internet users,,Number,,7671
2005,17.8.1 Internet users,,Number,,8632
2006,17.8.1 Internet users,,Number,,9049
2007,17.8.1 Internet users,,Number,,11779
2008,17.8.1 Internet users,,Number,,20108
2009,17.8.1 Internet users,,Number,,291589
2010,17.8.1 Internet users,,Number,,193858
2011,17.8.1 Internet users,,Number,,1689389
2012,17.8.1 Internet users,,Number,,2706922
2013,17.8.1 Internet users,,Number,,3861979
2014,17.8.1 Internet users,,Number,,5025945
2015,17.8.1 Internet users,,Number,,6443976
2016,17.8.1 Internet users,,Number,,8099132
2017,17.8.1 Internet users,,Number,,10841728
2018,17.8.1 Internet users,,Number,,13611398
